city,avg_temp
Spring Valley,70.5
Miami,86.99000000000001
Parkersburg,74.275
Cypress,82.96000000000001
Dallas,84.81
Frisco,85.065
Charlotte,79.8
San Diego,67.33
Tacoma,51.32
Midway,83.615
Jonesboro,82.78
Fontana,63.925
Great Neck,71.79
Leadwood,84.72999999999999
Goodview,78.57499999999999
Caledonia,85.50999999999999
Mascotte,82.96000000000001
Summerville,85.02
San Jose,60.13
Seffner,83.55000000000001
El Cajon,65.245
Maspeth,72.22999999999999
Palm Bay,83.985
Apopka,82.93
Huntsville,85.0
Bronx,71.745
Augusta,84.27
Lancaster,74.725
Converse,82.02
Irvine,65.08500000000001
Fairbanks,39.28
Mc Roberts,73.715
Lake Havasu City,81.63499999999999
Oklahoma City,83.465
Atlanta,82.89500000000001
Lakewood,66.55
Hot Springs Village,82.625
Columbia,74.41
Big Rapids,75.92
Greenville,84.795
Arlington,76.705
San Antonio,82.08500000000001
Lebanon,84.685
Cottondale,84.61
Longmont,60.260000000000005
Spring,82.61500000000001
Fayetteville,82.61
Tomball,81.805
Windsor Mill,74.57499999999999
Reno,48.3
Phoenix,79.59
Weaver,79.695
Osceola,75.02
Orlando,82.875
Aurora,81.33
Germantown,80.22999999999999
Walling,82.435
Fort Lauderdale,86.5
Grand Rapids,76.685
Justice,80.66
Greenbelt,76.41
Duluth,82.095
Elbridge,70.56
Kansas City,82.965
Baltimore,75.18
Nashville,85.765
Philadelphia,74.85
Greenville,83.475
Farmington,84.41499999999999
Alviso,60.785
Cohasset,53.4
Boise,56.155
Cincinnati,81.14
Champaign,83.5
Walnut,64.905
Pasadena,83.68
Auburn,52.97
San Jacinto,63.815
Abilene,82.525
Westerville,78.265
Columbia,83.22
Statesville,77.96000000000001
Brooklyn,72.565
Lynnwood,51.81
Watsonville,60.515
Cambridge,78.33500000000001
Rockford,76.565
Chino Hills,64.65
Edgerton,71.05
Ludowici,84.58
San Jose,60.17
Shippensburg,73.35499999999999
Box Elder,47.945
Plano,83.29
Yorba Linda,65.23
New Castle,75.245
Florence,84.045
Coolville,75.405
Chicago,80.525
Dallas,84.82499999999999
Honolulu,75.175
Nanticoke,70.605
Addison,84.92
Knightdale,82.32499999999999
Sandersville,83.145
Sterling,76.35
Morrisville,82.16499999999999
Bowling Green,85.28999999999999
Saint Albans,72.11
Cleveland,77.69
Davenport,77.19
Acworth,82.92500000000001
Jacksonville,84.00999999999999
Central Bridge,66.245
Dallas,84.405
Shelbyville,81.42
Pelzer,81.245
Lincolnton,79.08
Conroe,81.815
Marshall,83.515
Rio Rico,69.82
Wheeling,72.78
Ames,65.775
Thousand Oaks,61.53
Bronx,71.93
Dothan,84.595
Fairdale,73.455
Toledo,79.115
Lexington,83.975
Leesburg,82.43
West Columbia,84.00999999999999
Baltimore,76.21000000000001
Pflugerville,82.33500000000001
Kingsport,76.28
New Port Richey,84.07499999999999
Browns Summit,77.155
La Junta,64.77
Atlanta,83.285
Riverside,65.73
Polson,43.565
Detroit,74.87
San Antonio,81.63499999999999
Hollywood,86.005
Sandpoint,48.45
Franklin,76.91
Brooklyn,72.355
Houston,83.525
Inkster,74.96000000000001
Poway,65.705
Silver Spring,76.59
South Holland,80.69999999999999
Reading,73.565
Niagara Falls,74.5
Watertown,71.275
Mount Washington,83.075
Bucyrus,80.13
Clovis,73.435
Seabrook,83.93
Jamestown,71.56
Victorville,61.86
Hineston,82.725
Princeton,82.52000000000001
Philadelphia,75.055
Lockport,86.0
Ellisburg,68.93
Pamplico,84.12
College Point,72.62
Bristol,74.625
Chicago,80.59
Greenville,89.6
Seattle,51.635000000000005
Marion,85.27
Independence,78.44
Riverview,83.82499999999999
Monaca,72.275
Dardanelle,82.57
Phoenix,79.86500000000001
New Rochelle,72.275
Los Lunas,72.36500000000001
Bluefield,73.33
Riverbank,60.44
Mesa,78.745
North Las Vegas,76.72999999999999
Goldsboro,81.13
Miami,87.005
Spartanburg,81.39500000000001
Portland,54.985
Buffalo,74.31
Bronson,82.33500000000001
Mountain View,60.644999999999996
Sacramento,61.51
Spring,82.92
Sacramento,61.114999999999995
Prineville,49.965
North Las Vegas,76.85499999999999
Cunningham,85.4
Cincinnati,80.14
Houston,83.65
O Fallon,84.435
Pensacola,85.81
Springhill,85.25
Texarkana,85.37
Keaau,71.285
Warner Robins,83.965
Sacramento,60.97
Mill Creek,71.105
Morgantown,72.765
Mountlake Terrace,51.545
Delray Beach,86.755
Carpentersville,78.71000000000001
Beverly Hills,64.17500000000001
Sioux Falls,56.989999999999995
Tyler,82.78999999999999
Gainesville,82.025
Magna,69.405
Clermont,82.83
Baton Rouge,84.955
Eureka,87.51
Memphis,87.59
Oak Forest,80.905
Lemoore,62.61
Milwaukee,73.015
Chambersburg,72.86000000000001
Rockford,76.28
Cicero,80.72
Hutchinson,82.44999999999999
Hammond,85.145
El Paso,76.36500000000001
Maple Grove,57.935
Bemidji,53.33
Los Angeles,66.245
Oakland,60.695
Lake Elsinore,60.955
Powell,47.040000000000006
Cape Girardeau,84.47
Pompano Beach,86.28
Kingston,68.16
Nampa,58.94500000000001
Aurora,80.285
Knoxville,76.91499999999999
High Point,77.67500000000001
Central City,84.46000000000001
Anchorage,42.745000000000005
Indianapolis,81.725
Dacula,82.095
Paragould,85.875
New Braunfels,82.185
Rockwall,85.00999999999999
Joplin,83.785
Luling,82.735
Warner Robins,84.67500000000001
Dallas,82.19
Aurora,59.105000000000004
Fort Worth,84.83
Kissimmee,83.55000000000001
Forney,85.045
Jacksonville,84.08500000000001
Bay Shore,70.91
Philadelphia,74.89
Rockmart,82.82
Rochester,73.60499999999999
Louisville,83.25
Madera,61.815
Eldorado,68.695
Lexington,82.33500000000001
Newport News,81.10499999999999
Gary,80.68
Prattville,82.02000000000001
Gouverneur,67.865
Rapid City,47.285
Islip,71.385
Holland,77.115
Valrico,84.08000000000001
Mikado,69.72
Wilmington,84.785
Mora,58.785
Milford,57.325
Houston,83.74000000000001
Woodward,83.42
Pineville,84.55
Utica,59.754999999999995
Flint,72.66
Lagrange,82.12
Carol Stream,80.22
Oxnard,63.3
Fort Worth,84.565
Shreveport,84.075
Mc Intosh,86.27000000000001
Bakersfield,63.505
Zebulon,82.13
Garden,67.515
Columbus,78.195
Odessa,83.93
Honea Path,81.38
Norristown,74.46000000000001
Springdale,83.33
Fresno,61.08
Allentown,72.635
Norristown,73.725
Redding,58.394999999999996
Ventura,63.5
Sarasota,85.475
Monticello,77.82
Burbank,64.015
Mount Vernon,78.35
Onalaska,64.705
West Palm Beach,86.50999999999999
Oceana,74.045
Copperas Cove,84.24000000000001
Sherman,85.79499999999999
Chenoa,83.02
Derby,83.1
Wadley,85.31
West Palm Beach,86.495
Tampa,84.095
Brandon,83.57
Cloquet,57.215
Hayes,80.60499999999999
Pratt,77.1
Cascade,71.37
Laurel,86.47
Sherrills Ford,79.07
Idaho Falls,52.995000000000005
Washington,76.18
Durham,82.235
Horse Cave,82.005
Rosenberg,83.11
Montague,72.455
Greensboro,77.34
Philadelphia,74.91499999999999
Carmel,81.08500000000001
Cupertino,59.335
Albany,66.2
Durham,82.10499999999999
San Tan Valley,78.73
La Canada Flintridge,60.67
Mastic,70.10499999999999
Monroe,76.93
Largo,84.055
Frankfort,81.735
Thermal,79.76
Vancouver,54.33
Virginia Beach,81.10499999999999
Waynesboro,74.21000000000001
Olivehurst,62.120000000000005
Lafayette,83.515
Norcross,82.13
Mount Pleasant,85.245
Chicago,81.14
Norfolk,81.10499999999999
Marion,78.38
Scottsdale,79.475
Oak Ridge,78.11
New Castle,72.245
Galloway,78.2
Bethany,73.30000000000001
Indianapolis,82.035
Hudson,83.56
Berwyn,80.68
Morristown,76.03
Grand Island,63.485
Washington,77.32499999999999
Millsboro,76.935
Heyburn,53.58
Mansfield,84.13499999999999
Baltimore,75.41499999999999
Tuskegee,84.33500000000001
Euless,85.25999999999999
Bernice,84.285
Saint Albans,76.55
Pearland,84.135
Brooklyn,72.62
Wilmington,83.93
Smithville,81.04
Baton Rouge,85.49
Carthage,83.805
Collins,84.21000000000001
Clayton,82.205
Charlotte,80.435
Indianapolis,82.065
Vancouver,54.695
Cleveland,78.18
Nashville,85.775
Santa Ana,66.85
Peculiar,84.81
Dallas,85.605
Ocala,83.46000000000001
Balch Springs,85.2
Greer,80.815
New Baltimore,74.35499999999999
Clay,71.705
Baltimore,76.04499999999999
Tell City,86.17500000000001
Houston,83.975
Hurricane,74.535
Weirton,72.505
Collins,85.535
Bronx,72.62
Berkeley,80.54
Fort Worth,84.995
Kutztown,72.69999999999999
New Haven,83.775
Houston,84.05
Americus,85.95
Memphis,87.61
Philadelphia,74.66499999999999
San Antonio,81.72
Lebanon,72.86
Hyattsville,76.84
Naperville,81.005
Bethlehem,72.68
Grand Prairie,85.4
Hollywood,87.005
Alexandria,83.69
Claremont,78.57
Gaston,84.11
Cleveland,78.86
Harrison,82.815
Brooklyn,73.38
East Saint Louis,85.435
Rockville,75.99
Evans City,72.13
Richmond,81.36500000000001
San Antonio,80.61
Chester,76.495
Parkton,74.775
Philadelphia,75.06
Nazareth,71.525
Palm Beach,86.56
Oklahoma City,83.83000000000001
Wise,73.535
Medina,77.645
Murphy,74.33000000000001
Ottawa,83.9
New York,72.58
Edinburg,83.795
Hialeah,87.005
Yukon,83.49000000000001
Clinton,83.615
Pompano Beach,86.48
Chickasha,84.18
Azusa,64.86500000000001
Chapel Hill,81.265
Las Vegas,78.50999999999999
Brooklyn,72.78
Winston Salem,77.125
Memphis,87.6
Winamac,78.395
Dubuque,72.815
Orlando,82.9
Salina,74.645
Murfreesboro,84.235
Monroe,53.045
Los Angeles,65.515
Williamsburg,80.85
Waldorf,77.0
Corvallis,57.065
North Vernon,82.615
Chillicothe,78.72999999999999
Jupiter,86.55000000000001
Calhoun,86.27
Vista,66.235
Dexter,84.785
Kenosha,76.75
Kingsport,76.765
Ithaca,71.47
Flushing,71.525
Mission,83.66
Bedford,85.28
Austin,84.14
San Antonio,81.265
New York,72.28999999999999
El Paso,75.92
Buffalo,74.625
Matoaka,72.475
North Little Rock,84.065
Punta Gorda,85.515
Fort Hood,83.14
San Diego,66.76
Lansdale,73.525
Garner,82.475
Annapolis,76.41499999999999
Stow,76.33500000000001
Des Moines,67.7
Bakersfield,63.135
San Diego,66.67
Brusly,85.205
Lincoln,67.19
Gretna,77.34
Detroit,74.89500000000001
Little Rock,83.49
Woodbridge,77.83500000000001
Schaumburg,79.71000000000001
Mount Pleasant,73.095
Brooklyn,72.47
Mesa,79.44
Potsdam,65.95
Hanover,73.86000000000001
Washington,77.14500000000001
Roanoke,74.975
Minneapolis,58.29
San Benito,84.5
Saint Stephen,85.245
Florence,86.525
Milwaukee,73.89500000000001
Ferndale,74.83
Tulsa,86.065
Joliet,80.57
Melissa,84.94999999999999
Lexington,82.625
Wilmington,85.27
Indianapolis,81.69
Beaumont,83.09
Greenville,81.42
Kansas City,82.715
Indianapolis,82.06
San Antonio,81.715
Rich Square,81.545
Sterling Heights,74.975
Strafford,83.16499999999999
Gatesville,83.63499999999999
Fort Worth,85.225
Bow,53.39
Minneapolis,58.485
Lumberton,82.94999999999999
Menomonie,58.21
Alton,84.81
Austin,83.97999999999999
Warrenton,79.545
Edwardsville,84.75
Memphis,87.67
Asheville,76.175
Childersburg,83.3
El Cajon,66.14500000000001
Stockton,62.72
Ekron,83.725
Carlsbad,66.47
Fort Worth,85.36
Sedalia,83.345
Bolivia,85.235
Auburn,84.175
Mcdonough,83.735
Bedias,83.41
Chula Vista,67.525
Augusta,84.705
East Elmhurst,72.52
Statesboro,84.02
Brooksville,82.805
Venice,66.325
Oakland Gardens,72.275
Acampo,61.655
Los Angeles,65.86
San Jose,60.315
Flora,86.785
Brooklyn,72.77
Prior Lake,58.58
Hamtramck,74.89500000000001
Gulfport,85.93
Jackson,86.485
Atlanta,82.905
Arlington,85.32
Chandler,79.43
Bronx,72.67
Maysville,82.42
Springfield,79.735
Portland,53.995000000000005
Carmel,59.53
Hannibal,82.67
Beulaville,83.185
Florissant,53.84
Ormond Beach,82.51
Las Vegas,78.17
New Iberia,84.065
Mission Viejo,64.895
Youngstown,73.78
Kissimmee,85.11000000000001
Brooklyn,73.28
Deltona,80.88
Placerville,54.725
Mooresburg,76.89
Mesquite,85.695
Nashville,86.115
Seymour,78.07
Columbus,84.4
Pomona,63.95
Houston,83.905
Inman,81.11500000000001
Binghamton,67.345
Spring,83.49000000000001
Toledo,79.005
Flower Mound,85.225
Flushing,72.50999999999999
Moncks Corner,85.195
Biloxi,85.89
Adger,86.0
Greensboro,77.125
Casselberry,81.975
Fort Worth,85.005
Paris,86.80000000000001
Oklahoma City,83.895
Lathrop,62.7
Upper Darby,74.975
Grafton,72.98
Loxley,86.56
Northville,74.3
Bryan,81.83
Portage,79.29499999999999
Des Plaines,80.64500000000001
Los Angeles,66.395
Midland,76.08500000000001
Erie,73.765
Chapmanville,75.69
Cleveland,78.93
Lubbock,77.16499999999999
Houston,84.08
Oklahoma City,83.84
Richmond,83.705
Harrisville,86.105
Garrett,73.57
Panama City,86.44999999999999
Honokaa,69.36500000000001
Roanoke,75.755
Valdosta,84.73
Excelsior,58.254999999999995
Altoona,69.585
San Diego,66.495
Clawson,74.76
Garland,83.565
Vienna,86.205
Woodside,72.52
Baltimore,76.435
El Cajon,66.035
Black River Falls,64.75999999999999
Haysville,83.325
Indianapolis,81.79
Topeka,79.41499999999999
Elmont,72.55
Vanceburg,77.14500000000001
Atlanta,82.75
Los Angeles,65.765
Brooklyn,72.59
Columbus,78.7
East Aurora,73.19999999999999
Winton,59.585
Greenville,83.76
Leitchfield,84.705
El Paso,72.77000000000001
Des Moines,67.37
Plano,85.2
Gadsden,81.91499999999999
Valley Stream,72.535
Elizabethton,76.36
York,74.36500000000001
Nixa,82.3
Steubenville,72.245
Aberdeen,86.57499999999999
Bessemer,85.495
Baltimore,75.805
Burleson,85.47
Greensburg,82.125
