,user_id,gender,postal_code,temperature,temp_max,temp_min,avg_temp,city
0,0,female,10977,56.35,66.63,48.85,57.739999999999995,Spring Valley
1,6,female,33168,76.15,80.6,73.38,76.99,Miami
2,7,female,26104,63.61,64.26,62.65,63.455,Parkersburg
3,10,female,77433,80.87,82.78,77.76,80.27000000000001,Cypress
4,16,female,75228,76.51,81.05,72.9,76.975,Dallas
5,17,female,75228,76.51,81.05,72.9,76.975,Dallas
6,18,female,75033,77.13,80.76,72.93,76.845,Frisco
7,32,female,28269,66.99,70.72,61.59,66.155,Charlotte
8,34,female,92109,69.94,73.47,67.24,70.35499999999999,San Diego
9,37,female,92109,69.94,73.47,67.24,70.35499999999999,San Diego
10,38,female,98409,65.39,68.18,61.39,64.785,Tacoma
11,44,female,31320,70.52,75.97,68.25,72.11,Midway
12,50,female,30238,65.59,71.37,60.85,66.11,Jonesboro
13,53,female,92336,73.08,77.88,68.45,73.16499999999999,Fontana
14,55,female,98409,65.39,68.18,61.39,64.785,Tacoma
15,56,female,98409,65.39,68.18,61.39,64.785,Tacoma
16,58,female,98409,65.39,68.18,61.39,64.785,Tacoma
17,60,female,11021,64.47,69.33,54.93,62.129999999999995,Great Neck
18,61,female,63653,67.23,68.52,62.08,65.3,Leadwood
19,62,female,24095,64.26,68.49,60.46,64.475,Goodview
20,65,female,92336,73.08,77.88,68.45,73.16499999999999,Fontana
21,68,female,39740,68.77,71.28,66.7,68.99000000000001,Caledonia
23,73,female,34753,73.98,76.03,72.9,74.465,Mascotte
24,74,female,92336,73.08,77.88,68.45,73.16499999999999,Fontana
25,77,female,34753,73.98,76.03,72.9,74.465,Mascotte
26,79,female,24095,64.26,68.49,60.46,64.475,Goodview
27,81,female,29483,70.72,73.69,67.68,70.685,Summerville
28,82,female,92336,73.08,77.88,68.45,73.16499999999999,Fontana
29,86,female,95123,66.09,69.22,61.11,65.16499999999999,San Jose
30,90,female,33584,75.22,79.86,72.01,75.935,Seffner
31,91,female,92019,68.94,73.06,64.89,68.975,El Cajon
32,96,female,34753,73.98,76.03,72.9,74.465,Mascotte
33,97,female,11378,65.26,69.51,54.01,61.760000000000005,Maspeth
34,98,female,92336,73.08,77.88,68.45,73.16499999999999,Fontana
35,99,female,34753,73.98,76.03,72.9,74.465,Mascotte
36,100,female,32908,75.76,79.02,73.02,76.02,Palm Bay
37,102,female,39740,68.77,71.28,66.7,68.99000000000001,Caledonia
38,103,female,34753,73.98,76.03,72.9,74.465,Mascotte
39,104,female,29483,70.72,73.69,67.68,70.685,Summerville
40,105,female,32703,75.18,78.03,73.02,75.525,Apopka
42,107,female,92336,73.08,77.88,68.45,73.16499999999999,Fontana
43,109,female,11378,65.26,69.51,54.01,61.760000000000005,Maspeth
44,115,female,34753,73.98,76.03,72.9,74.465,Mascotte
45,118,female,35810,68.92,72.63,63.5,68.065,Huntsville
46,121,female,34753,73.98,76.03,72.9,74.465,Mascotte
47,127,female,63653,67.23,68.52,62.08,65.3,Leadwood
48,128,female,33584,75.22,79.86,72.01,75.935,Seffner
49,130,female,10458,63.3,69.46,53.98,61.72,Bronx
50,131,female,30907,69.4,73.56,63.57,68.565,Augusta
51,134,female,17602,57.43,62.08,52.34,57.21,Lancaster
52,136,female,17602,57.43,62.08,52.34,57.21,Lancaster
53,139,female,17602,57.43,62.08,52.34,57.21,Lancaster
54,141,female,30907,69.4,73.56,63.57,68.565,Augusta
55,143,female,17602,57.43,62.08,52.34,57.21,Lancaster
